sim_type,regrowth,klepts,foragers,variable,value,value_cut
facultative,0.001,0.006,0.016,pc_intake_forager,0.00100569852600775,"(0,0.01]"
facultative,0.001,0.007,0.009,pc_intake_forager,0.000206562129240985,"(0,0.01]"
facultative,0.001,0.006,0.017,pc_intake_forager,0.00126417125446023,"(0,0.01]"
facultative,0.001,0.004,0.011,pc_intake_forager,0.000454056108265616,"(0,0.01]"
facultative,0.001,0.011,0.008,pc_intake_forager,0.00729957585006201,"(0,0.01]"
facultative,0.001,0.008,0.005,pc_intake_forager,0.00586995074969383,"(0,0.01]"
facultative,0.001,0.01,0.017,pc_intake_forager,0.00121268236606203,"(0,0.01]"
facultative,0.001,0.007,0.004,pc_intake_forager,0.00745573870573871,"(0,0.01]"
facultative,0.001,0.004,0.017,pc_intake_forager,0.00101807019987639,"(0,0.01]"
facultative,0.001,0.006,0.012,pc_intake_forager,0.000721468214096232,"(0,0.01]"
facultative,0.001,0.01,0.011,pc_intake_forager,0.00044770904147984,"(0,0.01]"
facultative,0.001,0.01,0.013,pc_intake_forager,0.00841605061407275,"(0,0.01]"
facultative,0.001,0.005,0.01,pc_intake_forager,0.000410312661728147,"(0,0.01]"
facultative,0.001,0.012,0.012,pc_intake_forager,0.000881489957751096,"(0,0.01]"
facultative,0.001,0.006,0.009,pc_intake_forager,0.00027350948591922,"(0,0.01]"
facultative,0.001,0.006,0.01,pc_intake_forager,0.000405458164399058,"(0,0.01]"
facultative,0.001,0.007,0.007,pc_intake_forager,0.000241116364069732,"(0,0.01]"
facultative,0.001,0.012,0.006,pc_intake_forager,0.00561013756502478,"(0,0.01]"
facultative,0.001,0.004,0.009,pc_intake_forager,0.000203956289818619,"(0,0.01]"
facultative,0.001,0.01,0.007,pc_intake_forager,0.0070924804999877,"(0,0.01]"
facultative,0.001,0.008,0.004,pc_intake_forager,0.00631755076199521,"(0,0.01]"
facultative,0.001,0.001,0.018,pc_intake_forager,0.000767516058147397,"(0,0.01]"
facultative,0.001,0.002,0.023,pc_intake_forager,0,
facultative,0.001,0.005,0.005,pc_intake_forager,4.1676322181042e-05,"(0,0.01]"
facultative,0.001,0.009,0.003,pc_intake_forager,0.00369463869463869,"(0,0.01]"
facultative,0.001,0.007,0.016,pc_intake_forager,0.00112534288948337,"(0,0.01]"
