sim_type,replicate,regrowth,folder_path
obligate,003,0.25,data/sim_obligate_rep_003_gro_0.25
random,001,0.001,data/sim_random_rep_001_gro_0.001
random,001,0.005,data/sim_random_rep_001_gro_0.005
random,001,0.01,data/sim_random_rep_001_gro_0.01
random,001,0.02,data/sim_random_rep_001_gro_0.02
random,001,0.03,data/sim_random_rep_001_gro_0.03
random,001,0.04,data/sim_random_rep_001_gro_0.04
random,001,0.05,data/sim_random_rep_001_gro_0.05
random,001,0.075,data/sim_random_rep_001_gro_0.075
random,001,0.1,data/sim_random_rep_001_gro_0.1
random,001,0.25,data/sim_random_rep_001_gro_0.25
random,002,0.001,data/sim_random_rep_002_gro_0.001
random,002,0.005,data/sim_random_rep_002_gro_0.005
random,002,0.01,data/sim_random_rep_002_gro_0.01
random,002,0.02,data/sim_random_rep_002_gro_0.02
random,002,0.03,data/sim_random_rep_002_gro_0.03
random,002,0.04,data/sim_random_rep_002_gro_0.04
random,002,0.05,data/sim_random_rep_002_gro_0.05
random,002,0.075,data/sim_random_rep_002_gro_0.075
random,002,0.1,data/sim_random_rep_002_gro_0.1
random,002,0.25,data/sim_random_rep_002_gro_0.25
random,003,0.001,data/sim_random_rep_003_gro_0.001
random,003,0.005,data/sim_random_rep_003_gro_0.005
random,003,0.01,data/sim_random_rep_003_gro_0.01
random,003,0.02,data/sim_random_rep_003_gro_0.02
random,003,0.03,data/sim_random_rep_003_gro_0.03
random,003,0.04,data/sim_random_rep_003_gro_0.04
random,003,0.05,data/sim_random_rep_003_gro_0.05
random,003,0.075,data/sim_random_rep_003_gro_0.075
random,003,0.1,data/sim_random_rep_003_gro_0.1
random,003,0.25,data/sim_random_rep_003_gro_0.25
